"location","hits","keyword","geo","gprop","end.date","start.date"
"Ukraine","","paralysis tick","world","web",2018-04-13,2018-04-06
"U.S. Outlying Islands","","paralysis tick","world","web",2018-04-13,2018-04-06
"Uruguay","","paralysis tick","world","web",2018-04-13,2018-04-06
"Uzbekistan","","paralysis tick","world","web",2018-04-13,2018-04-06
"Vatican City","","paralysis tick","world","web",2018-04-13,2018-04-06
"St. Vincent & Grenadines","","paralysis tick","world","web",2018-04-13,2018-04-06
"Venezuela","","paralysis tick","world","web",2018-04-13,2018-04-06
"British Virgin Islands","","paralysis tick","world","web",2018-04-13,2018-04-06
"U.S. Virgin Islands","","paralysis tick","world","web",2018-04-13,2018-04-06
"Vietnam","","paralysis tick","world","web",2018-04-13,2018-04-06
"Vanuatu","","paralysis tick","world","web",2018-04-13,2018-04-06
"Wallis & Futuna","","paralysis tick","world","web",2018-04-13,2018-04-06
"Samoa","","paralysis tick","world","web",2018-04-13,2018-04-06
"Kosovo","","paralysis tick","world","web",2018-04-13,2018-04-06
"Yemen","","paralysis tick","world","web",2018-04-13,2018-04-06
"Zimbabwe","","paralysis tick","world","web",2018-04-13,2018-04-06
"Australia","100","tick paralysis","world","web",2018-04-13,2018-04-06
"Philippines","11","tick paralysis","world","web",2018-04-13,2018-04-06
"Pakistan","7","tick paralysis","world","web",2018-04-13,2018-04-06
"United States","6","tick paralysis","world","web",2018-04-13,2018-04-06
"Canada","5","tick paralysis","world","web",2018-04-13,2018-04-06
"Malaysia","4","tick paralysis","world","web",2018-04-13,2018-04-06
"United Arab Emirates","3","tick paralysis","world","web",2018-04-13,2018-04-06
"India","3","tick paralysis","world","web",2018-04-13,2018-04-06
"Saudi Arabia","2","tick paralysis","world","web",2018-04-13,2018-04-06
"United Kingdom","2","tick paralysis","world","web",2018-04-13,2018-04-06
"New Zealand","2","tick paralysis","world","web",2018-04-13,2018-04-06
"Singapore","1","tick paralysis","world","web",2018-04-13,2018-04-06
"Thailand","1","tick paralysis","world","web",2018-04-13,2018-04-06
"Indonesia","1","tick paralysis","world","web",2018-04-13,2018-04-06
"Mexico","1","tick paralysis","world","web",2018-04-13,2018-04-06
"Sweden","1","tick paralysis","world","web",2018-04-13,2018-04-06
"Germany","1","tick paralysis","world","web",2018-04-13,2018-04-06
"Brazil","<1","tick paralysis","world","web",2018-04-13,2018-04-06
"Italy","<1","tick paralysis","world","web",2018-04-13,2018-04-06
"Gambia","","tick paralysis","world","web",2018-04-13,2018-04-06
"Botswana","","tick paralysis","world","web",2018-04-13,2018-04-06
"Fiji","","tick paralysis","world","web",2018-04-13,2018-04-06
"Namibia","","tick paralysis","world","web",2018-04-13,2018-04-06
"South Africa","","tick paralysis","world","web",2018-04-13,2018-04-06
"Zambia","","tick paralysis","world","web",2018-04-13,2018-04-06
"Libya","","tick paralysis","world","web",2018-04-13,2018-04-06
"Macedonia (FYROM)","","tick paralysis","world","web",2018-04-13,2018-04-06
"Sudan","","tick paralysis","world","web",2018-04-13,2018-04-06
"Moldova","","tick paralysis","world","web",2018-04-13,2018-04-06
"Tanzania","","tick paralysis","world","web",2018-04-13,2018-04-06
"Oman","","tick paralysis","world","web",2018-04-13,2018-04-06
"Nepal","","tick paralysis","world","web",2018-04-13,2018-04-06
"Syria","","tick paralysis","world","web",2018-04-13,2018-04-06
"Egypt","","tick paralysis","world","web",2018-04-13,2018-04-06
"Kenya","","tick paralysis","world","web",2018-04-13,2018-04-06
"Nigeria","","tick paralysis","world","web",2018-04-13,2018-04-06
"Jordan","","tick paralysis","world","web",2018-04-13,2018-04-06
"Ireland","","tick paralysis","world","web",2018-04-13,2018-04-06
"Israel","","tick paralysis","world","web",2018-04-13,2018-04-06
"Costa Rica","","tick paralysis","world","web",2018-04-13,2018-04-06
"Croatia","","tick paralysis","world","web",2018-04-13,2018-04-06
"Iraq","","tick paralysis","world","web",2018-04-13,2018-04-06
"Belarus","","tick paralysis","world","web",2018-04-13,2018-04-06
"Bangladesh","","tick paralysis","world","web",2018-04-13,2018-04-06
"Iran","","tick paralysis","world","web",2018-04-13,2018-04-06
"Chile","","tick paralysis","world","web",2018-04-13,2018-04-06
"Colombia","","tick paralysis","world","web",2018-04-13,2018-04-06
"Poland","","tick paralysis","world","web",2018-04-13,2018-04-06
"Netherlands","","tick paralysis","world","web",2018-04-13,2018-04-06
"Turkey","","tick paralysis","world","web",2018-04-13,2018-04-06
"France","","tick paralysis","world","web",2018-04-13,2018-04-06
"Spain","","tick paralysis","world","web",2018-04-13,2018-04-06
"Aruba","","tick paralysis","world","web",2018-04-13,2018-04-06
"Afghanistan","","tick paralysis","world","web",2018-04-13,2018-04-06
"Angola","","tick paralysis","world","web",2018-04-13,2018-04-06
"Anguilla","","tick paralysis","world","web",2018-04-13,2018-04-06
"Åland Islands","","tick paralysis","world","web",2018-04-13,2018-04-06
"Albania","","tick paralysis","world","web",2018-04-13,2018-04-06
"Andorra","","tick paralysis","world","web",2018-04-13,2018-04-06
"Argentina","","tick paralysis","world","web",2018-04-13,2018-04-06
"Armenia","","tick paralysis","world","web",2018-04-13,2018-04-06
"American Samoa","","tick paralysis","world","web",2018-04-13,2018-04-06
"Antarctica","","tick paralysis","world","web",2018-04-13,2018-04-06
