"location","hits","keyword","geo","gprop","end.date","start.date"
"Lesotho",NA,"dog flea","world","web",2018-04-13,2018-04-06
"Lithuania",NA,"dog flea","world","web",2018-04-13,2018-04-06
"Luxembourg",NA,"dog flea","world","web",2018-04-13,2018-04-06
"Latvia",NA,"dog flea","world","web",2018-04-13,2018-04-06
"Macau",NA,"dog flea","world","web",2018-04-13,2018-04-06
"St. Martin",NA,"dog flea","world","web",2018-04-13,2018-04-06
"Morocco",NA,"dog flea","world","web",2018-04-13,2018-04-06
"Monaco",NA,"dog flea","world","web",2018-04-13,2018-04-06
"Moldova",NA,"dog flea","world","web",2018-04-13,2018-04-06
"Madagascar",NA,"dog flea","world","web",2018-04-13,2018-04-06
"Maldives",NA,"dog flea","world","web",2018-04-13,2018-04-06
"Mexico",NA,"dog flea","world","web",2018-04-13,2018-04-06
"Marshall Islands",NA,"dog flea","world","web",2018-04-13,2018-04-06
"Macedonia (FYROM)",NA,"dog flea","world","web",2018-04-13,2018-04-06
"Mali",NA,"dog flea","world","web",2018-04-13,2018-04-06
"Malta",NA,"dog flea","world","web",2018-04-13,2018-04-06
"Myanmar (Burma)",NA,"dog flea","world","web",2018-04-13,2018-04-06
"Montenegro",NA,"dog flea","world","web",2018-04-13,2018-04-06
